variable code,variable name,long code (GHED data explorer),category 1,category 2,unit,currency,Method of measurement (INDICATORS category1),
location,Countries and territories name,-,-,-,-,-,-,
code,Countries and territories ISO3 code ,-,-,-,-,-,-,
region,Region (WHO),-,-,-,-,-,-,
income,Country income group 2021 (World Bank),-,-,-,-,-,-,
year,Year,-,-,-,-,-,-,
hf,"Current health expenditure by financing schemes, in million current NCU",sha11.HF,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf1,"Government schemes and compulsory contributory health care financing schemes, in million current NCU",sha11.HF.1,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf11,"Government schemes, in million current NCU",sha11.HF.1.1,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf12,"Compulsory contributory health insurance schemes, in million current NCU",sha11.HF.1.2,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf121,"Social health insurance schemes, in million current NCU",sha11.HF.1.2.1,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf122,"Compulsory private insurance schemes, in million current NCU",sha11.HF.1.2.2,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf12nec,"Unspecified compulsory contributory health insurance schemes (n.e.c.), in million current NCU",sha11.HF.1.2.nec,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf13,"Compulsory Medical Saving Accounts (CMSA), in million current NCU",sha11.HF.1.3,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf1nec,"Unspecified government schemes and compulsory contributory schemes (n.e.c.), in million current NCU",sha11.HF.1.nec,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf2,"Voluntary health care payment schemes, in million current NCU",sha11.HF.2,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf21,"Voluntary health insurance schemes, in million current NCU",sha11.HF.2.1,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf22,"NPISH financing schemes (including development agencies), in million current NCU",sha11.HF.2.2,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf23,"Enterprise financing schemes, in million current NCU",sha11.HF.2.3,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf2nec,"Unspecified voluntary health care payment schemes (n.e.c.), in million current NCU",sha11.HF.2.nec,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf3,"Household out-of-pocket payments (OOPS), in million current NCU",sha11.HF.3,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hf4,"Rest of the world financing schemes (non-resident), in million current NCU",sha11.HF.4,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hfnec,"Unspecified financing schemes (n.e.c.), in million current NCU",sha11.HF.nec,HEALTH EXPENDITURE DATA,FINANCING SCHEMES,Millions,NCU,-,
hc,"Current health expenditure by Health Care Functions, in million current NCU",sha11.HC,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc1,"Curative care, in million current NCU",sha11.HC.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc11,"Inpatient curative care, in million current NCU",sha11.HC.1.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc12,"Day curative care, in million current NCU",sha11.HC.1.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc13,"Outpatient curative care, in million current NCU",sha11.HC.1.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc131,"General outpatient curative care, in million current NCU",sha11.HC.1.3.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc132,"Dental outpatient curative care, in million current NCU",sha11.HC.1.3.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc133,"Specialised outpatient curative care, in million current NCU",sha11.HC.1.3.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc139,"Other outpatient curative care (specialized paramedical outpatient curative care), in million current NCU",sha11.HC.1.3.9,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc13nec,"Unspecified outpatient curative care (n.e.c.), in million current NCU",sha11.HC.1.3.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc14,"Home-based curative care, in million current NCU",sha11.HC.1.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc1nec,"Unspecified curative care (n.e.c.), in million current NCU",sha11.HC.1.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc2,"Rehabilitative care, in million current NCU",sha11.HC.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc21,"Inpatient rehabilitative care, in million current NCU",sha11.HC.2.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc22,"Day rehabilitative care, in million current NCU",sha11.HC.2.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc23,"Outpatient rehabilitative care, in million current NCU",sha11.HC.2.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc24,"Home-based rehabilitative care, in million current NCU",sha11.HC.2.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc2nec,"Unspecified rehabilitative care (n.e.c.), in million current NCU",sha11.HC.2.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc3,"Long-term care (health), in million current NCU",sha11.HC.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc31,"Inpatient long-term care (health), in million current NCU",sha11.HC.3.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc32,"Day long-term care (health), in million current NCU",sha11.HC.3.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc33,"Outpatient long-term care (health), in million current NCU",sha11.HC.3.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc34,"Home-based long-term care (health), in million current NCU",sha11.HC.3.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc3nec,"Unspecified long-term care (n.e.c.), in million current NCU",sha11.HC.3.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc4,"Ancillary services (non-specified by function), in million current NCU",sha11.HC.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc41,"Laboratory services, in million current NCU",sha11.HC.4.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc42,"Imaging services, in million current NCU",sha11.HC.4.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc43,"Patient transportation, in million current NCU",sha11.HC.4.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc4nec,"Unspecified ancillary services (n.e.c.), in million current NCU",sha11.HC.4.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc5,"Medical goods (non-specified by function), in million current NCU",sha11.HC.5,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc51,"Pharmaceuticals and Other medical durable goods, in million current NCU",sha11.HC.5.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc511,"Prescribed medicines, in million current NCU",sha11.HC.5.1.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc512,"Over-the-counter medicines, in million current NCU",sha11.HC.5.1.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc513,"Other medical non-durable goods, in million current NCU",sha11.HC.5.1.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc52,"Therapeutic appliances and Other medical goods, in million current NCU",sha11.HC.5.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc5nec,"Unspecified medical goods (n.e.c.), in million current NCU",sha11.HC.5.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc6,"Preventive care, in million current NCU",sha11.HC.6,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc61,"Information, education and counseling (IEC) programmes, in million current NCU",sha11.HC.6.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc62,"Immunization Programmes, in million current NCU",sha11.HC.6.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
fp3214,"Vaccines, in million current NCU",sha11.FP.3.2.1.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc63,"Early disease detection programmes, in million current NCU",sha11.HC.6.3,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc64,"Healthy condition monitoring programmes, in million current NCU",sha11.HC.6.4,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc65,"Epidemiological surveillance and risk and disease control programmes, in million current NCU",sha11.HC.6.5,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc66,"Preparing for disaster and emergency response programmes, in million current NCU",sha11.HC.6.6,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc6nec,"Unspecified preventive care (n.e.c.), in million current NCU",sha11.HC.6.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc7,"Governance, and health system and financing administration, in million current NCU",sha11.HC.7,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc71,"Governance and Health system administration, in million current NCU",sha11.HC.7.1,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc72,"Administration of health financing, in million current NCU",sha11.HC.7.2,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc7nec,"Unspecified governance, and health system and financing administration (n.e.c.), in million current NCU",sha11.HC.7.nec,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc9,"Other health care services not elsewhere classified (n.e.c.), in million current NCU",sha11.HC.9,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,Millions,NCU,-,
hc_gghed,"Domestic general government health expenditure by Health Care Functions, in million current NCU",sha11.HC_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc1_gghed,"Domestic General Government Expenditure on Curative care, in million current NCU",sha11.HC.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc11_gghed,"Domestic General Government Expenditure on Inpatient curative care, in million current NCU",sha11.HC.1.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc12_gghed,"Domestic General Government Expenditure on Day curative care, in million current NCU",sha11.HC.1.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc13_gghed,"Domestic General Government Expenditure on Outpatient curative care, in million current NCU",sha11.HC.1.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc131_gghed,"Domestic General Government Expenditure on General outpatient curative care, in million current NCU",sha11.HC.1.3.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc132_gghed,"Domestic General Government Expenditure on Dental outpatient curative care, in million current NCU",sha11.HC.1.3.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc133_gghed,"Domestic General Government Expenditure on Specialised outpatient curative care, in million current NCU",sha11.HC.1.3.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc139_gghed,"Domestic General Government Expenditure on other outpatient curative care (specialized paramedical outpatient curative care), in million current NCU",sha11.HC.1.3.9_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc13nec_gghed,"Domestic General Government Expenditure on Outpatient curative care n.e.c., in million current NCU",sha11.HC.1.3.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc14_gghed,"Domestic General Government on Home-based curative care, in million current NCU",sha11.HC.1.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc1nec_gghed,"Domestic General Government Expenditure on Other curative care, in million current NCU",sha11.HC.1.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc2_gghed,"Domestic General Government Expenditure on Rehabilitative care, in million current NCU",sha11.HC.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc21_gghed,"Domestic General Government Expenditure on Inpatient rehabilitative care, in million current NCU",sha11.HC.2.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc22_gghed,"Domestic General Government Expenditure on Day rehabilitative care, in million current NCU",sha11.HC.2.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc23_gghed,"Domestic General Government Expenditure on Outpatient rehabilitative care, in million current NCU",sha11.HC.2.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc24_gghed,"Domestic General Government Expenditure on Home-based rehabilitative care, in million current NCU",sha11.HC.2.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc3_gghed,"Domestic General Government Expenditure on Long-term care (health), in million current NCU",sha11.HC.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc31_gghed,"Domestic General Government Expenditure on Inpatient long-term care (health), in million current NCU",sha11.HC.3.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc32_gghed,"Domestic General Government Expenditure on Day long-term care (health), in million current NCU",sha11.HC.3.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc33_gghed,"Domestic General Government Expenditure on Outpatient long-term care (health), in million current NCU",sha11.HC.3.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc34_gghed,"Domestic General Government Expenditure on Home-based long-term care (health), in million current NCU",sha11.HC.3.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc3nec_gghed,"Domestic General Government Expenditure on Other Long-Term Care, in million current NCU",sha11.HC.3.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc4_gghed,"Domestic General Government Expenditure on Ancillary services (non-specified by function), in million current NCU",sha11.HC.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc41_gghed,"Domestic General Government Expenditure on Laboratory services, in million current NCU",sha11.HC.4.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc42_gghed,"Domestic General Government Expenditure on Imaging services, in million current NCU",sha11.HC.4.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc43_gghed,"Domestic General Government Expenditure on Patient transportation, in million current NCU",sha11.HC.4.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc5_gghed,"Domestic General Government Expenditure on Medical goods (non-specified by function), in million current NCU",sha11.HC.5_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc51_gghed,"Domestic General Government Expenditure on Pharmaceuticals and Other medical durable goods, in million current NCU",sha11.HC.5.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc511_gghed,"Domestic General Government Expenditure on Prescribed medicines, in million current NCU",sha11.HC.5.1.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc512_gghed,"Domestic General Government Expenditure on Over-the-counter medicines, in million current NCU",sha11.HC.5.1.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
hc513_gghed,"Domestic General Government Expenditure on Other medical non-durable goods, in million current NCU",sha11.HC.5.1.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,NCU,-,
